nama jamu;resep
Jamu kudu laos;mengkudu,laos,merica,asam Jawa,bawang putih,kedawung,garam,air 
Jamu purwaceng;porwoceng,baru cina,jahe,kencur,telur ayam,madu,air 
Jamu pege linu;kencur,beras,kedawung,jahe,jeruk nipis,madu,air,garam 
Jamu menurunkan kolestrol;bawang putih,daun sembung,meniran,jeruk nipis,garam,air 
Jamu pembengkakan jantung;daun kemangi,kencur,air 
Jamu penyakit TBC;daun sirih,kayu manis,jahe,biji kemukus,cengkeh,kapulaga,adas,air,pulosari 
Jamu sakit kepala;merica,daun turi,bawang putih,cuka,air 
Jamu pembersih paru paru;kunyit,jahe,bawang putih,air 
Jamu sakit amandel;mengkudu,air,madu 
Jamu sakit kencing batu;gula Jawa,alang - alang,adas,gula batu,air 
Jamu pendarahan ;kayu manis,jahe,madu,air 
Jamu mangir;kunyit,tepung beras,daun kemuning,temu giring, bunga kenanga 
Jamu tapel;tepung beras,adas,kencur,pulosari,bangle,klabet,jahe,kayu manis 
Jamu anemia;kencur,kunyit,daun bayam,telur ayam 
Jamu selesma;sambiloto,jahe,air 
Jamu cocok bulan;bidara laut,meniran,sambiloto,pule,srigading,temulawak 
Jamu batuk angin;adas,daun saga,bidara upas,daun sirih,jahe,kapulaga,kencur,laos,lempuyang,pala 
Jamu galian parem;adas,jinten,ketumber,bidara upas,kunyit,kencur,pulosari,daun pegagan,temulawak 
Jamu jampi usus;adas,kedawung,daun pegagan,kencur,kunyit,lempuyang,pulosari,temulawak,daun saga  
Jamu ulu hati;adas,jinten,kedawung,kemukus,ketumbar,laos,jahe,pulosari,temulawak,temu hitam 
Jamu terlambat bulan;bidara laut,meniran,sambiloto,pule,srigading,temulawak 
Jamu tambah darah;adas,pala,kemukus,ketumbar,laos,lempuyang,pulosari,temulawak,temu hitam,air 
Jamu untuk darah tinggi;kunyit,labu,air,belimbing wuluh 
Jamu untuk darah rendah;daun bayam,gula Jawa,asam Jawa,bawang merah,lada,cabai,garam,air 
Jamu sakit mata;jinten,bangle,kunyit,air 
Jamu sakit telinga;biji mahoni,daun iler,kencur,minyak kelapa,air 
Jamu sakit gigi;serai,kunyit,garam,air 
Jamu sakit tenggorokan;jahe,kencur,kayu manis,gula Jawa,air 
Jamu untuk sariawan;kayu manis,daun sembung,kunyit,daun saga,adas,air 
Jamu untuk bengek;temulawak,jahe,jinten,daun tanjung,gula Jawa,kayu manis,air 
Jamu penyakit jantung;buah maja,daun sembung,madu 
Jamu untuk demam;temulawak,daun kumis kucing,meniran,alang-alang,daun ingu,jeruk nipis,air 
Jamu untuk malaria;meniran,daun beluntas,daun pepaya,gula Jawa,air 
Jamu sakit perut;kulit batang tanjung,akar kelapa,bonggol pisang,air 
Jamu untuk perut keras;asam Jawa,kunyit,air 
Jamu untuk busung lapar;mengkudu,air,jeruk purut,garam 
Jamu untuk diare;kunyit,gambir,air,kapur sirih 
Jamu untuk disentri;asam Jawa,kunyit,temulawak,madu,air 
Jamu untuk masuk angin;temu kunci,lempuyang,merica,ketumbar,adas,kunyit,air,daun poko 
Jamu untuk cacingan;mengkudu,kunyit,gula Jawa,garam,air 
Jamu sakit kuningan;temulawak,meniran,bunga sirih,kayu manis,jeruk nipis,madu 
Jamu sakit pinggang;daun selasih,lengkuas,air,jahe 
Jamu untuk batu ginjal;belimbing wuluh,daun sembung,brotowali,jeruk nipis,air,gula batu 
Jamu untuk radang ginjal;biji kopi,meniran,temulawak,alang-alang,asam Jawa,air 
Jamu penyakit kotor (sipilis);temulawak,daun kumis kucing,daun sambiroto,air 
Jamu untuk wasir;daun keji beling,air,meniran,temulawak,asam Jawa 
Jamu untuk kolera;akar teki,daun sembung,temulawak,kunyit,air 
Jamu penyakit typhus;bidara upas,daun sirih,kunyit,air,gula batu 
Jamu sakit tetanus;meniran,adas,pulosari,dlingo,bangle,air 
Jamu tersiram air panas;meniran,temulawak,kayu manis,cengkeh,air 
Jamu untuk keracunan;daun sambiroto,jinten,air,gula Jawa 
Jamu untuk sakit eksim;meniran,air,pule 
Jamu untuk biduran;kunyit,bawang merah,adas,pulosari,air 
Jamu untuk encok;remujung,meniran,dlingo,kayu manis,air,jahe 
Jamu susah tidur;daun kangkung,daun pegagan,ketumbar,jinten,air 
Jamu digigit binatang berbisa;daun sambiroto,air,daun ngokilo 
Jamu untuk impoten;adas,pulosari,merica,bawang putih,kunyit,madu,air,telur ayam 
Jamu untuk mani encer;pinang,air,kemiri,telur ayam,madu 
Jamu keperkasaan;jeruk nipis,kunyit,madu,air,telur ayam 
Jamu vagina berbau harum;daun kemangi,daun pandan,air,gula Jawa,garam 
Jamu vagina menjadi kesat;daun pepaya,daun sirih,cabai,air,asam Jawa 
Jamu merapatkan vagina;bunga delima,kunyit,jinten,air,jeruk nipis 
Jamu mengecilkan rahim;beras,kencur,jahe,kunyit,jeruk nipis,air,asam Jawa,gula Jawa,daun pandan,garam 
Jamu untuk mandul (istri);kunyit,daun pegagan,garam,air,rumput jarum,nanas,temu giring,temu hitam,kencur,jeruk nipis 
Jamu untuk mandul (suami);daun pegagan,brotowali,air,daun kemukus,daun sambiroto 
Jamu mencegah kehamilan;daun sirih,kencur,kunci,kunyit,kapur sirih,air 
Jamu untuk hamil;meniran,daun dadap serep,daun sinom,daun jambu biji,lempuyang,temu giring,temu hitam,daun simbukan 
Jamu penyakit kurang darah;daun bayam,daun tapak liman,asam Jawa,telur ayam,madu,air 
Jamu untuk tubuh langsing;mengkudu,bangle,daun kemuning,asam Jawa,lempuyang,air 
Jamu menghilangkan bau mulut;daun sirih,kencur,adas,pinang,air 
Jamu menghilangkan bau keringat;kunyit,air,gula Jawa 
Jamu suara merdu;jeruk nipis,kapur sirih,garam,air,madu 
Jamu kuat pria;daun jarak,jeruk nipis,kencur,beras,air 
Jamu dingin syahwat;sarang burung walet,merica,jahe,telur ayam 
